,0
0,0.0
1,6.283601559338573e-12
2,1.2567203118677146e-11
3,1.8850804678015718e-11
4,2.5134406237354293e-11
5,3.141800779669287e-11
6,3.770160935603144e-11
7,4.398521091537002e-11
8,5.026881247470859e-11
9,5.6552414034047166e-11
10,6.283601559338573e-11
11,6.91196171527243e-11
12,7.540321871206287e-11
13,8.168682027140144e-11
14,8.797042183074001e-11
15,9.425402339007858e-11
16,1.0053762494941714e-10
17,1.0682122650875571e-10
18,1.1310482806809428e-10
19,1.1938842962743286e-10
20,1.2567203118677144e-10
21,1.3195563274611002e-10
22,1.382392343054486e-10
23,1.445228358647872e-10
24,1.5080643742412577e-10
25,1.5709003898346435e-10
26,1.6337364054280293e-10
27,1.696572421021415e-10
28,1.759408436614801e-10
29,1.8222444522081867e-10
30,1.8850804678015726e-10
31,1.9479164833949584e-10
32,2.0107524989883442e-10
33,2.07358851458173e-10
34,2.1364245301751158e-10
35,2.1992605457685016e-10
36,2.2620965613618874e-10
37,2.3249325769552732e-10
38,2.387768592548659e-10
39,2.4506046081420444e-10
40,2.51344062373543e-10
41,2.5762766393288155e-10
42,2.639112654922201e-10
43,2.7019486705155866e-10
44,2.764784686108972e-10
45,2.8276207017023577e-10
46,2.890456717295743e-10
47,2.953292732889129e-10
48,3.0161287484825143e-10
49,3.0789647640759e-10
50,3.1418007796692854e-10
51,3.204636795262671e-10
52,3.2674728108560566e-10
53,3.330308826449442e-10
54,3.3931448420428277e-10
55,3.455980857636213e-10
56,3.518816873229599e-10
57,3.5816528888229843e-10
58,3.64448890441637e-10
59,3.7073249200097554e-10
60,3.770160935603141e-10
61,3.8329969511965265e-10
62,3.895832966789912e-10
63,3.9586689823832976e-10
64,4.021504997976683e-10
65,4.084341013570069e-10
66,4.1471770291634543e-10
67,4.21001304475684e-10
68,4.2728490603502254e-10
69,4.335685075943611e-10
70,4.3985210915369965e-10
71,4.461357107130382e-10
72,4.5241931227237676e-10
73,4.587029138317153e-10
74,4.6498651539105387e-10
75,4.712701169503925e-10
76,4.77553718509731e-10
77,4.838373200690696e-10
78,4.901209216284081e-10
79,4.964045231877467e-10
80,5.026881247470853e-10
81,5.089717263064238e-10
82,5.152553278657624e-10
83,5.215389294251009e-10
