,0
0,0.0
1,6.458146047097978e-12
2,1.2916292094195956e-11
3,1.9374438141293935e-11
4,2.583258418839191e-11
5,3.229073023548989e-11
6,3.8748876282587864e-11
7,4.520702232968584e-11
8,5.1665168376783816e-11
9,5.812331442388179e-11
10,6.458146047097978e-11
11,7.103960651807776e-11
12,7.749775256517574e-11
13,8.395589861227372e-11
14,9.04140446593717e-11
15,9.687219070646969e-11
16,1.0333033675356767e-10
17,1.0978848280066565e-10
18,1.1624662884776364e-10
19,1.2270477489486162e-10
20,1.291629209419596e-10
21,1.3562106698905758e-10
22,1.4207921303615557e-10
23,1.4853735908325355e-10
24,1.5499550513035153e-10
25,1.6145365117744952e-10
26,1.679117972245475e-10
27,1.7436994327164548e-10
28,1.8082808931874346e-10
29,1.8728623536584145e-10
30,1.9374438141293943e-10
31,2.002025274600374e-10
32,2.066606735071354e-10
33,2.1311881955423338e-10
34,2.1957696560133136e-10
35,2.2603511164842934e-10
36,2.3249325769552732e-10
37,2.389514037426253e-10
38,2.4540954978972324e-10
39,2.518676958368212e-10
40,2.5832584188391915e-10
41,2.647839879310171e-10
42,2.7124213397811507e-10
43,2.77700280025213e-10
44,2.84158426072311e-10
45,2.9061657211940894e-10
46,2.970747181665069e-10
47,3.0353286421360485e-10
48,3.099910102607028e-10
49,3.1644915630780076e-10
50,3.229073023548987e-10
51,3.293654484019967e-10
52,3.3582359444909463e-10
53,3.422817404961926e-10
54,3.4873988654329055e-10
55,3.551980325903885e-10
56,3.6165617863748646e-10
57,3.681143246845844e-10
58,3.745724707316824e-10
59,3.8103061677878033e-10
60,3.874887628258783e-10
61,3.9394690887297625e-10
62,4.004050549200742e-10
63,4.0686320096717216e-10
64,4.133213470142701e-10
65,4.1977949306136807e-10
66,4.2623763910846603e-10
67,4.32695785155564e-10
68,4.3915393120266194e-10
69,4.456120772497599e-10
70,4.5207022329685786e-10
71,4.585283693439558e-10
72,4.6498651539105377e-10
73,4.714446614381518e-10
74,4.779028074852497e-10
75,4.843609535323477e-10
76,4.908190995794456e-10
77,4.972772456265436e-10
78,5.037353916736416e-10
79,5.101935377207395e-10
80,5.166516837678375e-10
81,5.231098298149354e-10
82,5.295679758620334e-10
83,5.360261219091313e-10
84,5.424842679562293e-10
85,5.489424140033273e-10
86,5.554005600504252e-10
87,5.618587060975232e-10
88,5.683168521446211e-10
89,5.747749981917191e-10
90,5.81233144238817e-10
91,5.87691290285915e-10
92,5.94149436333013e-10
93,6.006075823801109e-10
94,6.070657284272089e-10
95,6.135238744743068e-10
96,6.199820205214048e-10
97,6.264401665685027e-10
98,6.328983126156007e-10
99,6.393564586626987e-10
100,6.458146047097966e-10
101,6.522727507568946e-10
102,6.587308968039925e-10
103,6.651890428510905e-10
104,6.716471888981884e-10
105,6.781053349452864e-10
106,6.845634809923844e-10
107,6.910216270394823e-10
108,6.974797730865803e-10
109,7.039379191336782e-10
110,7.103960651807762e-10
111,7.168542112278741e-10
112,7.233123572749721e-10
113,7.2977050332207e-10
114,7.36228649369168e-10
115,7.42686795416266e-10
116,7.491449414633639e-10
117,7.556030875104619e-10
118,7.620612335575598e-10
119,7.685193796046578e-10
120,7.749775256517557e-10
121,7.814356716988537e-10
122,7.878938177459517e-10
123,7.943519637930496e-10
124,8.008101098401476e-10
125,8.072682558872455e-10
126,8.137264019343435e-10
127,8.201845479814414e-10
128,8.266426940285394e-10
129,8.331008400756374e-10
130,8.395589861227353e-10
131,8.460171321698333e-10
132,8.524752782169312e-10
133,8.589334242640292e-10
134,8.653915703111271e-10
135,8.718497163582251e-10
136,8.783078624053231e-10
137,8.84766008452421e-10
138,8.91224154499519e-10
139,8.976823005466169e-10
140,9.041404465937149e-10
141,9.105985926408128e-10
142,9.170567386879108e-10
143,9.235148847350088e-10
144,9.299730307821067e-10
145,9.364311768292047e-10
146,9.428893228763027e-10
147,9.493474689234008e-10
148,9.558056149704989e-10
149,9.62263761017597e-10
150,9.68721907064695e-10
151,9.75180053111793e-10
152,9.81638199158891e-10
153,9.880963452059892e-10
154,9.945544912530872e-10
155,1.0010126373001853e-09
156,1.0074707833472833e-09
157,1.0139289293943814e-09
158,1.0203870754414795e-09
159,1.0268452214885775e-09
160,1.0333033675356756e-09
161,1.0397615135827736e-09
162,1.0462196596298717e-09
163,1.0526778056769698e-09
164,1.0591359517240678e-09
165,1.0655940977711659e-09
166,1.072052243818264e-09
167,1.078510389865362e-09
168,1.08496853591246e-09
169,1.0914266819595581e-09
170,1.0978848280066562e-09
171,1.1043429740537542e-09
172,1.1108011201008523e-09
173,1.1172592661479504e-09
174,1.1237174121950484e-09
175,1.1301755582421465e-09
176,1.1366337042892445e-09
177,1.1430918503363426e-09
178,1.1495499963834407e-09
179,1.1560081424305387e-09
180,1.1624662884776368e-09
181,1.1689244345247348e-09
182,1.175382580571833e-09
183,1.181840726618931e-09
184,1.188298872666029e-09
185,1.194757018713127e-09
186,1.2012151647602251e-09
187,1.2076733108073232e-09
188,1.2141314568544213e-09
189,1.2205896029015193e-09
190,1.2270477489486174e-09
191,1.2335058949957154e-09
192,1.2399640410428135e-09
193,1.2464221870899116e-09
194,1.2528803331370096e-09
195,1.2593384791841077e-09
196,1.2657966252312057e-09
197,1.2722547712783038e-09
198,1.2787129173254019e-09
199,1.2851710633725e-09
200,1.291629209419598e-09
201,1.298087355466696e-09
202,1.304545501513794e-09
203,1.3110036475608922e-09
204,1.3174617936079902e-09
205,1.3239199396550883e-09
206,1.3303780857021863e-09
207,1.3368362317492844e-09
208,1.3432943777963825e-09
209,1.3497525238434805e-09
210,1.3562106698905786e-09
211,1.3626688159376766e-09
212,1.3691269619847747e-09
213,1.3755851080318728e-09
214,1.3820432540789708e-09
215,1.3885014001260689e-09
216,1.394959546173167e-09
217,1.401417692220265e-09
218,1.407875838267363e-09
219,1.4143339843144611e-09
220,1.4207921303615592e-09
221,1.4272502764086572e-09
222,1.4337084224557553e-09
223,1.4401665685028534e-09
224,1.4466247145499514e-09
225,1.4530828605970495e-09
226,1.4595410066441475e-09
227,1.4659991526912456e-09
228,1.4724572987383437e-09
229,1.4789154447854417e-09
230,1.4853735908325398e-09
231,1.4918317368796378e-09
232,1.498289882926736e-09
233,1.504748028973834e-09
234,1.511206175020932e-09
235,1.51766432106803e-09
236,1.5241224671151281e-09
237,1.5305806131622262e-09
238,1.5370387592093243e-09
239,1.5434969052564223e-09
240,1.5499550513035204e-09
241,1.5564131973506185e-09
242,1.5628713433977165e-09
243,1.5693294894448146e-09
244,1.5757876354919126e-09
245,1.5822457815390107e-09
246,1.5887039275861088e-09
247,1.5951620736332068e-09
248,1.6016202196803049e-09
249,1.608078365727403e-09
250,1.614536511774501e-09
251,1.620994657821599e-09
252,1.6274528038686971e-09
253,1.6339109499157952e-09
254,1.6403690959628932e-09
255,1.6468272420099913e-09
256,1.6532853880570894e-09
257,1.6597435341041874e-09
258,1.6662016801512855e-09
259,1.6726598261983835e-09
260,1.6791179722454816e-09
261,1.6855761182925797e-09
262,1.6920342643396777e-09
263,1.6984924103867758e-09
264,1.7049505564338738e-09
265,1.7114087024809719e-09
266,1.71786684852807e-09
267,1.724324994575168e-09
268,1.730783140622266e-09
269,1.7372412866693641e-09
270,1.7436994327164622e-09
271,1.7501575787635603e-09
272,1.7566157248106583e-09
273,1.7630738708577564e-09
274,1.7695320169048544e-09
275,1.7759901629519525e-09
276,1.7824483089990506e-09
277,1.7889064550461486e-09
278,1.7953646010932467e-09
279,1.8018227471403447e-09
280,1.8082808931874428e-09
281,1.8147390392345409e-09
282,1.821197185281639e-09
283,1.827655331328737e-09
284,1.834113477375835e-09
285,1.840571623422933e-09
286,1.8470297694700312e-09
287,1.8534879155171292e-09
288,1.8599460615642273e-09
289,1.8664042076113253e-09
290,1.8728623536584234e-09
291,1.8793204997055215e-09
292,1.8857786457526195e-09
293,1.8922367917997176e-09
294,1.8986949378468156e-09
295,1.9051530838939137e-09
296,1.9116112299410118e-09
297,1.91806937598811e-09
298,1.924527522035208e-09
299,1.930985668082306e-09
300,1.937443814129404e-09
301,1.943901960176502e-09
302,1.9503601062236e-09
303,1.956818252270698e-09
304,1.9632763983177962e-09
305,1.9697345443648943e-09
306,1.9761926904119924e-09
307,1.9826508364590904e-09
308,1.9891089825061885e-09
309,1.9955671285532865e-09
310,2.0020252746003846e-09
311,2.0084834206474827e-09
312,2.0149415666945807e-09
313,2.0213997127416788e-09
314,2.027857858788777e-09
315,2.034316004835875e-09
316,2.040774150882973e-09
317,2.047232296930071e-09
318,2.053690442977169e-09
319,2.060148589024267e-09
320,2.0666067350713652e-09
321,2.0730648811184633e-09
322,2.0795230271655613e-09
323,2.0859811732126594e-09
324,2.0924393192597574e-09
325,2.0988974653068555e-09
326,2.1053556113539536e-09
327,2.1118137574010516e-09
328,2.1182719034481497e-09
329,2.1247300494952478e-09
330,2.131188195542346e-09
331,2.137646341589444e-09
332,2.144104487636542e-09
333,2.15056263368364e-09
334,2.157020779730738e-09
335,2.163478925777836e-09
336,2.169937071824934e-09
337,2.1763952178720322e-09
338,2.1828533639191303e-09
339,2.1893115099662284e-09
340,2.1957696560133264e-09
341,2.2022278020604245e-09
342,2.2086859481075225e-09
343,2.2151440941546206e-09
344,2.2216022402017187e-09
345,2.2280603862488167e-09
346,2.2345185322959148e-09
347,2.240976678343013e-09
348,2.247434824390111e-09
349,2.253892970437209e-09
350,2.260351116484307e-09
351,2.266809262531405e-09
352,2.273267408578503e-09
353,2.279725554625601e-09
354,2.2861837006726993e-09
355,2.2926418467197973e-09
356,2.2990999927668954e-09
357,2.3055581388139934e-09
358,2.3120162848610915e-09
359,2.3184744309081896e-09
360,2.3249325769552876e-09
361,2.3313907230023857e-09
362,2.3378488690494837e-09
363,2.344307015096582e-09
364,2.35076516114368e-09
365,2.357223307190778e-09
366,2.363681453237876e-09
367,2.370139599284974e-09
368,2.376597745332072e-09
369,2.38305589137917e-09
370,2.3895140374262682e-09
371,2.3959721834733663e-09
372,2.4024303295204643e-09
373,2.4088884755675624e-09
374,2.4153466216146605e-09
375,2.4218047676617585e-09
376,2.4282629137088566e-09
377,2.4347210597559546e-09
378,2.4411792058030527e-09
379,2.4476373518501508e-09
380,2.454095497897249e-09
381,2.460553643944347e-09
382,2.467011789991445e-09
383,2.473469936038543e-09
384,2.479928082085641e-09
385,2.486386228132739e-09
386,2.492844374179837e-09
387,2.4993025202269352e-09
388,2.5057606662740333e-09
389,2.5122188123211314e-09
390,2.5186769583682294e-09
391,2.5251351044153275e-09
392,2.5315932504624255e-09
393,2.5380513965095236e-09
394,2.5445095425566217e-09
395,2.5509676886037197e-09
396,2.5574258346508178e-09
397,2.563883980697916e-09
398,2.570342126745014e-09
399,2.576800272792112e-09
400,2.58325841883921e-09
401,2.589716564886308e-09
402,2.596174710933406e-09
403,2.602632856980504e-09
404,2.6090910030276023e-09
405,2.6155491490747003e-09
406,2.6220072951217984e-09
407,2.6284654411688964e-09
408,2.6349235872159945e-09
409,2.6413817332630926e-09
410,2.6478398793101906e-09
411,2.6542980253572887e-09
412,2.6607561714043867e-09
413,2.667214317451485e-09
414,2.673672463498583e-09
415,2.680130609545681e-09
416,2.686588755592779e-09
417,2.693046901639877e-09
418,2.699505047686975e-09
419,2.705963193734073e-09
420,2.7124213397811712e-09
421,2.7188794858282693e-09
422,2.7253376318753674e-09
423,2.7317957779224654e-09
424,2.7382539239695635e-09
425,2.7447120700166615e-09
426,2.7511702160637596e-09
427,2.7576283621108577e-09
428,2.7640865081579557e-09
429,2.7705446542050538e-09
430,2.777002800252152e-09
431,2.78346094629925e-09
432,2.789919092346348e-09
433,2.796377238393446e-09
434,2.802835384440544e-09
435,2.809293530487642e-09
436,2.81575167653474e-09
437,2.8222098225818383e-09
438,2.8286679686289363e-09
439,2.8351261146760344e-09
440,2.8415842607231324e-09
441,2.8480424067702305e-09
442,2.8545005528173286e-09
443,2.8609586988644266e-09
444,2.8674168449115247e-09
445,2.8738749909586227e-09
446,2.880333137005721e-09
447,2.886791283052819e-09
448,2.893249429099917e-09
449,2.899707575147015e-09
450,2.906165721194113e-09
451,2.912623867241211e-09
452,2.919082013288309e-09
453,2.9255401593354072e-09
454,2.9319983053825053e-09
455,2.9384564514296033e-09
456,2.9449145974767014e-09
457,2.9513727435237995e-09
458,2.9578308895708975e-09
459,2.9642890356179956e-09
460,2.9707471816650936e-09
461,2.9772053277121917e-09
462,2.9836634737592898e-09
463,2.990121619806388e-09
464,2.996579765853486e-09
465,3.003037911900584e-09
466,3.009496057947682e-09
467,3.01595420399478e-09
468,3.022412350041878e-09
469,3.028870496088976e-09
470,3.0353286421360742e-09
471,3.0417867881831723e-09
472,3.0482449342302704e-09
473,3.0547030802773684e-09
474,3.0611612263244665e-09
475,3.0676193723715645e-09
476,3.0740775184186626e-09
477,3.0805356644657607e-09
478,3.0869938105128587e-09
479,3.0934519565599568e-09
480,3.099910102607055e-09
481,3.106368248654153e-09
482,3.112826394701251e-09
483,3.119284540748349e-09
484,3.125742686795447e-09
485,3.132200832842545e-09
486,3.138658978889643e-09
487,3.1451171249367413e-09
488,3.1515752709838393e-09
489,3.1580334170309374e-09
490,3.1644915630780354e-09
491,3.1709497091251335e-09
492,3.1774078551722316e-09
493,3.1838660012193296e-09
494,3.1903241472664277e-09
495,3.1967822933135257e-09
496,3.203240439360624e-09
497,3.209698585407722e-09
498,3.21615673145482e-09
499,3.222614877501918e-09
500,3.229073023549016e-09
501,3.235531169596114e-09
502,3.241989315643212e-09
503,3.2484474616903102e-09
504,3.2549056077374083e-09
505,3.2613637537845063e-09
506,3.2678218998316044e-09
507,3.2742800458787025e-09
508,3.2807381919258005e-09
509,3.2871963379728986e-09
510,3.2936544840199967e-09
511,3.3001126300670947e-09
512,3.3065707761141928e-09
513,3.313028922161291e-09
514,3.319487068208389e-09
515,3.325945214255487e-09
516,3.332403360302585e-09
517,3.338861506349683e-09
518,3.345319652396781e-09
519,3.351777798443879e-09
520,3.3582359444909773e-09
521,3.3646940905380753e-09
522,3.3711522365851734e-09
523,3.3776103826322714e-09
524,3.3840685286793695e-09
525,3.3905266747264676e-09
526,3.3969848207735656e-09
527,3.4034429668206637e-09
