,0
0,0.0
1,5.2245675886635226e-11
2,1.0449135177327045e-10
3,1.5673702765990568e-10
4,2.089827035465409e-10
5,2.6122837943317615e-10
6,3.1347405531981137e-10
7,3.657197312064466e-10
8,4.179654070930818e-10
9,4.702110829797171e-10
10,5.224567588663523e-10
11,5.747024347529875e-10
12,6.269481106396227e-10
13,6.79193786526258e-10
14,7.314394624128932e-10
15,7.836851382995284e-10
16,8.359308141861636e-10
17,8.881764900727988e-10
18,9.404221659594341e-10
19,9.926678418460694e-10
20,1.0449135177327046e-09
21,1.0971591936193398e-09
22,1.149404869505975e-09
23,1.2016505453926102e-09
24,1.2538962212792455e-09
25,1.3061418971658807e-09
26,1.358387573052516e-09
27,1.4106332489391511e-09
28,1.4628789248257863e-09
29,1.5151246007124216e-09
30,1.5673702765990568e-09
31,1.619615952485692e-09
32,1.6718616283723272e-09
33,1.7241073042589624e-09
34,1.7763529801455977e-09
35,1.8285986560322329e-09
36,1.8808443319188683e-09
37,1.9330900078055037e-09
38,1.985335683692139e-09
39,2.0375813595787746e-09
40,2.08982703546541e-09
41,2.1420727113520454e-09
42,2.194318387238681e-09
43,2.2465640631253163e-09
44,2.2988097390119517e-09
45,2.351055414898587e-09
46,2.4033010907852226e-09
47,2.455546766671858e-09
48,2.5077924425584934e-09
49,2.560038118445129e-09
50,2.6122837943317643e-09
51,2.6645294702183997e-09
52,2.716775146105035e-09
53,2.7690208219916705e-09
54,2.821266497878306e-09
55,2.8735121737649414e-09
56,2.925757849651577e-09
57,2.9780035255382122e-09
58,3.0302492014248477e-09
59,3.082494877311483e-09
60,3.1347405531981185e-09
61,3.186986229084754e-09
62,3.2392319049713894e-09
63,3.291477580858025e-09
64,3.3437232567446602e-09
65,3.3959689326312956e-09
66,3.448214608517931e-09
67,3.5004602844045665e-09
68,3.552705960291202e-09
69,3.6049516361778374e-09
70,3.6571973120644728e-09
71,3.709442987951108e-09
72,3.761688663837743e-09
73,3.813934339724379e-09
74,3.866180015611014e-09
75,3.9184256914976495e-09
76,3.970671367384285e-09
77,4.02291704327092e-09
78,4.075162719157556e-09
79,4.127408395044191e-09
80,4.179654070930827e-09
81,4.231899746817462e-09
82,4.2841454227040975e-09
83,4.336391098590733e-09
84,4.388636774477368e-09
85,4.440882450364004e-09
86,4.493128126250639e-09
87,4.545373802137275e-09
88,4.59761947802391e-09
89,4.6498651539105455e-09
90,4.702110829797181e-09
91,4.754356505683816e-09
92,4.806602181570452e-09
93,4.858847857457087e-09
94,4.9110935333437226e-09
95,4.963339209230358e-09
96,5.0155848851169934e-09
97,5.067830561003629e-09
98,5.120076236890264e-09
99,5.1723219127769e-09
100,5.224567588663535e-09
101,5.2768132645501706e-09
102,5.329058940436806e-09
103,5.3813046163234414e-09
104,5.433550292210077e-09
105,5.485795968096712e-09
106,5.538041643983348e-09
107,5.590287319869983e-09
108,5.6425329957566185e-09
109,5.694778671643254e-09
110,5.747024347529889e-09
111,5.799270023416525e-09
112,5.85151569930316e-09
113,5.903761375189796e-09
114,5.956007051076431e-09
115,6.0082527269630665e-09
116,6.060498402849702e-09
117,6.112744078736337e-09
118,6.164989754622973e-09
119,6.217235430509608e-09
120,6.269481106396244e-09
121,6.321726782282879e-09
122,6.3739724581695145e-09
123,6.42621813405615e-09
124,6.478463809942785e-09
125,6.530709485829421e-09
126,6.582955161716056e-09
127,6.635200837602692e-09
128,6.687446513489327e-09
129,6.7396921893759625e-09
130,6.791937865262598e-09
131,6.844183541149233e-09
132,6.896429217035869e-09
133,6.948674892922504e-09
134,7.00092056880914e-09
135,7.053166244695775e-09
136,7.1054119205824105e-09
137,7.157657596469046e-09
138,7.209903272355681e-09
139,7.262148948242317e-09
140,7.314394624128952e-09
141,7.366640300015588e-09
142,7.418885975902223e-09
143,7.471131651788858e-09
144,7.523377327675493e-09
145,7.575623003562128e-09
146,7.627868679448762e-09
147,7.680114355335397e-09
148,7.732360031222031e-09
149,7.784605707108666e-09
150,7.8368513829953e-09
151,7.889097058881935e-09
152,7.94134273476857e-09
153,7.993588410655204e-09
154,8.045834086541839e-09
155,8.098079762428474e-09
156,8.150325438315108e-09
157,8.202571114201743e-09
158,8.254816790088377e-09
159,8.307062465975012e-09
160,8.359308141861647e-09
161,8.411553817748281e-09
162,8.463799493634916e-09
163,8.51604516952155e-09
164,8.568290845408185e-09
165,8.62053652129482e-09
166,8.672782197181454e-09
167,8.725027873068089e-09
168,8.777273548954723e-09
169,8.829519224841358e-09
170,8.881764900727993e-09
171,8.934010576614627e-09
172,8.986256252501262e-09
173,9.038501928387896e-09
174,9.090747604274531e-09
175,9.142993280161166e-09
176,9.1952389560478e-09
177,9.247484631934435e-09
178,9.29973030782107e-09
179,9.351975983707704e-09
180,9.404221659594339e-09
181,9.456467335480973e-09
182,9.508713011367608e-09
183,9.560958687254242e-09
184,9.613204363140877e-09
185,9.665450039027512e-09
186,9.717695714914146e-09
187,9.76994139080078e-09
188,9.822187066687415e-09
189,9.87443274257405e-09
190,9.926678418460685e-09
191,9.97892409434732e-09
192,1.0031169770233954e-08
193,1.0083415446120588e-08
194,1.0135661122007223e-08
195,1.0187906797893858e-08
196,1.0240152473780492e-08
197,1.0292398149667127e-08
198,1.0344643825553761e-08
199,1.0396889501440396e-08
200,1.044913517732703e-08
201,1.0501380853213665e-08
202,1.05536265291003e-08
203,1.0605872204986934e-08
204,1.0658117880873569e-08
205,1.0710363556760204e-08
206,1.0762609232646838e-08
207,1.0814854908533473e-08
208,1.0867100584420107e-08
209,1.0919346260306742e-08
210,1.0971591936193377e-08
211,1.1023837612080011e-08
212,1.1076083287966646e-08
