,0
0,0.0
1,1.4530828605970426e-10
2,2.906165721194085e-10
3,4.3592485817911276e-10
4,5.81233144238817e-10
5,7.265414302985213e-10
6,8.718497163582256e-10
7,1.0171580024179298e-09
8,1.162466288477634e-09
9,1.3077745745373384e-09
10,1.4530828605970427e-09
11,1.598391146656747e-09
12,1.7436994327164512e-09
13,1.8890077187761553e-09
14,2.0343160048358596e-09
15,2.179624290895564e-09
16,2.324932576955268e-09
17,2.4702408630149725e-09
18,2.6155491490746768e-09
19,2.760857435134381e-09
20,2.9061657211940853e-09
21,3.0514740072537896e-09
22,3.196782293313494e-09
23,3.342090579373198e-09
24,3.4873988654329025e-09
25,3.6327071514926068e-09
26,3.778015437552311e-09
27,3.923323723612015e-09
28,4.068632009671719e-09
29,4.2139402957314235e-09
30,4.359248581791128e-09
31,4.504556867850832e-09
32,4.649865153910536e-09
33,4.795173439970241e-09
34,4.940481726029945e-09
35,5.085790012089649e-09
36,5.2310982981493535e-09
37,5.376406584209058e-09
38,5.521714870268762e-09
39,5.667023156328466e-09
40,5.812331442388171e-09
41,5.957639728447875e-09
42,6.102948014507579e-09
43,6.2482563005672835e-09
44,6.393564586626988e-09
45,6.538872872686692e-09
46,6.684181158746396e-09
47,6.829489444806101e-09
48,6.974797730865805e-09
49,7.120106016925509e-09
50,7.2654143029852135e-09
51,7.410722589044918e-09
52,7.556030875104621e-09
53,7.701339161164325e-09
54,7.846647447224028e-09
55,7.991955733283732e-09
56,8.137264019343435e-09
57,8.282572305403139e-09
58,8.427880591462842e-09
59,8.573188877522545e-09
60,8.718497163582249e-09
61,8.863805449641952e-09
62,9.009113735701656e-09
63,9.15442202176136e-09
64,9.299730307821063e-09
65,9.445038593880766e-09
66,9.59034687994047e-09
67,9.735655166000173e-09
68,9.880963452059877e-09
69,1.002627173811958e-08
70,1.0171580024179284e-08
71,1.0316888310238987e-08
72,1.046219659629869e-08
73,1.0607504882358394e-08
74,1.0752813168418097e-08
75,1.0898121454477801e-08
76,1.1043429740537504e-08
77,1.1188738026597208e-08
78,1.1334046312656911e-08
79,1.1479354598716615e-08
80,1.1624662884776318e-08
81,1.1769971170836022e-08
82,1.1915279456895725e-08
83,1.2060587742955429e-08
84,1.2205896029015132e-08
85,1.2351204315074835e-08
86,1.2496512601134539e-08
87,1.2641820887194242e-08
88,1.2787129173253946e-08
89,1.293243745931365e-08
90,1.3077745745373353e-08
91,1.3223054031433056e-08
92,1.336836231749276e-08
93,1.3513670603552463e-08
94,1.3658978889612167e-08
95,1.380428717567187e-08
96,1.3949595461731574e-08
97,1.4094903747791277e-08
98,1.424021203385098e-08
99,1.4385520319910684e-08
100,1.4530828605970387e-08
101,1.467613689203009e-08
102,1.4821445178089794e-08
103,1.49667534641495e-08
104,1.5112061750209203e-08
105,1.5257370036268906e-08
106,1.540267832232861e-08
107,1.5547986608388313e-08
108,1.5693294894448017e-08
109,1.583860318050772e-08
110,1.5983911466567424e-08
111,1.6129219752627127e-08
112,1.627452803868683e-08
113,1.6419836324746534e-08
114,1.6565144610806237e-08
115,1.671045289686594e-08
116,1.6855761182925644e-08
117,1.7001069468985348e-08
118,1.714637775504505e-08
119,1.7291686041104755e-08
120,1.7436994327164458e-08
121,1.758230261322416e-08
122,1.7727610899283865e-08
123,1.787291918534357e-08
124,1.8018227471403272e-08
125,1.8163535757462975e-08
126,1.830884404352268e-08
127,1.8454152329582382e-08
128,1.8599460615642086e-08
129,1.874476890170179e-08
130,1.8890077187761493e-08
131,1.9035385473821196e-08
132,1.91806937598809e-08
133,1.9326002045940603e-08
134,1.9471310332000307e-08
135,1.961661861806001e-08
136,1.9761926904119714e-08
137,1.9907235190179417e-08
138,2.005254347623912e-08
139,2.0197851762298824e-08
140,2.0343160048358527e-08
141,2.048846833441823e-08
142,2.0633776620477934e-08
143,2.0779084906537638e-08
144,2.092439319259734e-08
145,2.1069701478657045e-08
146,2.1215009764716748e-08
147,2.136031805077645e-08
148,2.1505626336836155e-08
149,2.165093462289586e-08
150,2.1796242908955562e-08
151,2.1941551195015265e-08
152,2.208685948107497e-08
153,2.2232167767134672e-08
154,2.2377476053194376e-08
155,2.252278433925408e-08
156,2.2668092625313783e-08
157,2.2813400911373486e-08
158,2.295870919743319e-08
159,2.3104017483492893e-08
160,2.3249325769552597e-08
161,2.33946340556123e-08
162,2.3539942341672004e-08
163,2.3685250627731707e-08
164,2.383055891379141e-08
165,2.3975867199851114e-08
166,2.4121175485910817e-08
167,2.426648377197052e-08
168,2.4411792058030224e-08
169,2.4557100344089928e-08
170,2.470240863014963e-08
171,2.4847716916209335e-08
172,2.4993025202269038e-08
173,2.513833348832874e-08
174,2.5283641774388445e-08
175,2.542895006044815e-08
176,2.5574258346507852e-08
177,2.5719566632567555e-08
178,2.586487491862726e-08
179,2.6010183204686962e-08
180,2.6155491490746666e-08
181,2.630079977680637e-08
182,2.6446108062866073e-08
183,2.6591416348925776e-08
184,2.673672463498548e-08
185,2.6882032921045183e-08
186,2.7027341207104887e-08
187,2.717264949316459e-08
188,2.7317957779224293e-08
189,2.7463266065283997e-08
190,2.76085743513437e-08
191,2.7753882637403404e-08
192,2.7899190923463107e-08
193,2.804449920952281e-08
194,2.8189807495582514e-08
195,2.8335115781642218e-08
196,2.848042406770192e-08
197,2.8625732353761625e-08
198,2.8771040639821328e-08
199,2.891634892588103e-08
200,2.9061657211940735e-08
201,2.920696549800044e-08
202,2.9352273784060142e-08
203,2.9497582070119845e-08
204,2.964289035617955e-08
205,2.9788198642239252e-08
206,2.993350692829896e-08
207,3.0078815214358666e-08
208,3.022412350041837e-08
209,3.036943178647808e-08
210,3.0514740072537786e-08
211,3.066004835859749e-08
212,3.08053566446572e-08
213,3.0950664930716906e-08
214,3.109597321677661e-08
215,3.124128150283632e-08
216,3.138658978889603e-08
217,3.1531898074955733e-08
218,3.167720636101544e-08
219,3.182251464707515e-08
220,3.1967822933134854e-08
221,3.211313121919456e-08
222,3.225843950525427e-08
223,3.2403747791313974e-08
224,3.254905607737368e-08
225,3.269436436343339e-08
226,3.2839672649493094e-08
227,3.29849809355528e-08
228,3.313028922161251e-08
229,3.3275597507672215e-08
230,3.342090579373192e-08
231,3.356621407979163e-08
232,3.3711522365851335e-08
233,3.385683065191104e-08
234,3.400213893797075e-08
235,3.4147447224030455e-08
236,3.429275551009016e-08
